xval,magnitude,radval,magnitude
-5,0,0,7
-4.95,0,0.05,1394
-4.9,0,0.1,4937
-4.85,0,0.15,10828
-4.8,0,0.2,17725
-4.75,0,0.25,27531
-4.7,0,0.3,38094
-4.65,0,0.35,47854
-4.6,0,0.4,60382
-4.55,0,0.45,69328
-4.5,0,0.5,82961
-4.45,0,0.55,90651
-4.4,0,0.6,100458
-4.35,0,0.65,109362
-4.3,0,0.7,116533
-4.25,0,0.75,117292
-4.2,0,0.8,116753
-4.15,0,0.85,119625
-4.1,0,0.9,118027
-4.05,0,0.95,119406
-4,0,1,111251
-3.95,0,1.05,105799
-3.9,0,1.1,103240
-3.85,0,1.15,96584
-3.8,0,1.2,91589
-3.75,0,1.25,86132
-3.7,0,1.3,77182
-3.65,0,1.35,72061
-3.6,0,1.4,64759
-3.55,0,1.45,59527
-3.5,0,1.5,52924
-3.45,8,1.55,46332
-3.4,1,1.6,42482
-3.35,0,1.65,35403
-3.3,64,1.7,30928
-3.25,6,1.75,27600
-3.2,0,1.8,24197
-3.15,0,1.85,21049
-3.1,0,1.9,17788
-3.05,0,1.95,14512
-3,45,2,13422
-2.95,3,2.05,10144
-2.9,5,2.1,9318
-2.85,42,2.15,7201
-2.8,18,2.2,6289
-2.75,27,2.25,4963
-2.7,10,2.3,3693
-2.65,12,2.35,3045
-2.6,121,2.4,2587
-2.55,177,2.45,2217
-2.5,252,2.5,1622
-2.45,227,2.55,1421
-2.4,526,2.6,1114
-2.35,396,2.65,915
-2.3,401,2.7,620
-2.25,273,2.75,701
-2.2,660,2.8,448
-2.15,825,2.85,200
-2.1,1076,2.9,317
-2.05,1305,2.95,120
-2,1376,3,231
-1.95,1991,3.05,64
-1.9,2137,3.1,48
-1.85,2052,3.15,28
-1.8,3023,3.2,24
-1.75,3599,3.25,16
-1.7,4493,3.3,38
-1.65,4636,3.35,19
-1.6,5860,3.4,101
-1.55,6769,3.45,2
-1.5,7640,3.5,0
-1.45,9323,3.55,22
-1.4,10895,3.6,0
-1.35,12733,3.65,2
-1.3,14166,3.7,0
-1.25,16465,3.75,0
-1.2,17256,3.8,0
-1.15,20683,3.85,1
-1.1,23197,3.9,0
-1.05,24247,3.95,0
-1,26319,4,0
-0.95,30117,4.05,0
-0.9,33601,4.1,0
-0.85,34519,4.15,0
-0.8,39784,4.2,0
-0.75,42221,4.25,0
-0.7,45137,4.3,0
-0.65,50515,4.35,0
-0.6,51223,4.4,0
-0.55,54095,4.45,0
-0.5,57378,4.5,0
-0.45,61082,4.55,0
-0.4,63201,4.6,0
-0.35,65222,4.65,0
-0.3,66484,4.7,0
-0.25,69229,4.75,0
-0.2,68892,4.8,0
-0.15,69875,4.85,0
-0.1,71975,4.9,0
-0.05,74072,4.95,0
0,73026,5,0
0.05,71402,5.05,0
0.1,71541,5.1,0
0.15,72492,5.15,0
0.2,70897,5.2,0
0.25,67752,5.25,0
0.3,66457,5.3,0
0.35,66909,5.35,0
0.4,61814,5.4,0
0.45,59364,5.45,0
0.5,56206,5.5,0
0.55,55936,5.55,0
0.6,52994,5.6,0
0.65,47870,5.65,0
0.7,44752,5.7,0
0.75,42169,5.75,0
0.8,39803,5.8,0
0.85,36080,5.85,0
0.9,32293,5.9,0
0.95,29518,5.95,0
1,26119,6,0
1.05,24792,6.05,0
1.1,22488,6.1,0
1.15,19778,6.15,0
1.2,17600,6.2,0
1.25,16434,6.25,0
1.3,14284,6.3,0
1.35,12303,6.35,0
1.4,11959,6.4,0
1.45,9122,6.45,0
1.5,8212,6.5,0
1.55,7450,6.55,0
1.6,5939,6.6,0
1.65,5037,6.65,0
1.7,5071,6.7,0
1.75,3647,6.75,0
1.8,3743,6.8,0
1.85,2429,6.85,0
1.9,1828,6.9,0
1.95,2007,6.95,0
2,1614,7,0
2.05,1100,7.05,0
2.1,1369,7.1,0
2.15,744,7.15,0
2.2,666,7.2,0
2.25,486,7.25,0
2.3,302,7.3,0
2.35,332,7.35,0
2.4,192,7.4,0
2.45,254,7.45,0
2.5,268,7.5,0
2.55,123,7.55,0
2.6,98,7.6,0
2.65,83,7.65,0
2.7,76,7.7,0
2.75,72,7.75,0
2.8,30,7.8,0
2.85,39,7.85,0
2.9,46,7.9,0
2.95,15,7.95,0
3,25,8,0
3.05,8,8.05,0
3.1,0,8.1,0
3.15,9,8.15,0
3.2,0,8.2,0
3.25,10,8.25,0
3.3,0,8.3,0
3.35,0,8.35,0
3.4,0,8.4,0
3.45,0,8.45,0
3.5,0,8.5,0
3.55,0,8.55,0
3.6,0,8.6,0
3.65,0,8.65,0
3.7,0,8.7,0
3.75,0,8.75,0
3.8,0,8.8,0
3.85,0,8.85,0
3.9,0,8.9,0
3.95,0,8.95,0
4,0,9,0
4.05,0,9.05,0
4.1,0,9.1,0
4.15,0,9.15,0
4.2,0,9.2,0
4.25,0,9.25,0
4.3,0,9.3,0
4.35,0,9.35,0
4.4,0,9.4,0
4.45,0,9.45,0
4.5,0,9.5,0
4.55,0,9.55,0
4.6,0,9.6,0
4.65,0,9.65,0
4.7,0,9.7,0
4.75,0,9.75,0
4.8,0,9.8,0
4.85,0,9.85,0
4.9,0,9.9,0
4.95,0,9.95,0
